,,p_value
BART,abssentrw,0.01105711
onmt_pg,abssentrw,0.02397238
abssentrw,seneca,0.9463405
BART,onmt_pg,0.3711413
BART,seneca,1.763717e-07
onmt_pg,seneca,4.073497e-05
__REFERENCE__,abssentrw,0.01315429
__REFERENCE__,BART,0.9463509
__REFERENCE__,onmt_pg,0.09422823
__REFERENCE__,seneca,2.845028e-09
BART,abssentrw,0.01409303
onmt_pg,abssentrw,0.03349574
abssentrw,seneca,0.841056
BART,onmt_pg,0.1061129
BART,seneca,2.040042e-06
onmt_pg,seneca,0.001005687
__REFERENCE__,abssentrw,1.413066e-06
__REFERENCE__,BART,0.1212287
__REFERENCE__,onmt_pg,5.415122e-05
__REFERENCE__,seneca,4.570304e-13
BART,abssentrw,0.002382294
onmt_pg,abssentrw,0.00752422
abssentrw,seneca,0.9818404
BART,onmt_pg,0.08339212
BART,seneca,1.512183e-08
onmt_pg,seneca,4.197347e-06
__REFERENCE__,abssentrw,3.737062e-10
__REFERENCE__,BART,0.09860594
__REFERENCE__,onmt_pg,0.001011206
__REFERENCE__,seneca,1.038885e-07
BART,abssentrw,1.025828e-05
onmt_pg,abssentrw,0.0001952696
abssentrw,seneca,0.05667507
BART,onmt_pg,0.08746991
BART,seneca,0.00113265
onmt_pg,seneca,0.03904205
__REFERENCE__,abssentrw,1.791187e-18
__REFERENCE__,BART,4.31186e-06
__REFERENCE__,onmt_pg,6.622187e-06
__REFERENCE__,seneca,3.211118e-12
BART,abssentrw,9.06955e-06
onmt_pg,abssentrw,0.003688088
abssentrw,seneca,0.7927841
BART,onmt_pg,0.3100515
BART,seneca,3.656429e-06
onmt_pg,seneca,1.932677e-05
__REFERENCE__,abssentrw,4.17505e-05
__REFERENCE__,BART,0.01644888
__REFERENCE__,onmt_pg,0.003138361
__REFERENCE__,seneca,5.257998e-05
BART,abssentrw,0.003034781
onmt_pg,abssentrw,0.005506622
abssentrw,seneca,0.1920571
BART,onmt_pg,0.1352933
BART,seneca,0.004525754
onmt_pg,seneca,0.02471312
__REFERENCE__,abssentrw,3.645022e-07
__REFERENCE__,BART,0.03824411
__REFERENCE__,onmt_pg,0.0001149196
__REFERENCE__,seneca,1.111442e-08
BART,abssentrw,0.0004591471
onmt_pg,abssentrw,0.0002553565
abssentrw,seneca,0.1556219
BART,onmt_pg,0.2008651
BART,seneca,0.0002211324
onmt_pg,seneca,0.000197165
__REFERENCE__,abssentrw,0.0003505239
__REFERENCE__,BART,0.01927759
__REFERENCE__,onmt_pg,0.004978664
__REFERENCE__,seneca,0.0001217385
BART,abssentrw,0.0002077722
onmt_pg,abssentrw,0.0002886529
abssentrw,seneca,0.09693369
BART,onmt_pg,0.2257291
BART,seneca,0.0002442103
onmt_pg,seneca,0.06349258
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,4.278573e-07
__REFERENCE__,BART,0.4850212
__REFERENCE__,onmt_pg,0.05582113
__REFERENCE__,seneca,0.000977843
BART,abssentrw,2.105906e-06
onmt_pg,abssentrw,9.786516e-07
seneca,abssentrw,0.0005608909
BART,onmt_pg,0.3080981
BART,seneca,0.0009366313
onmt_pg,seneca,0.02806002
__REFERENCE__,abssentrw,4.306605e-08
__REFERENCE__,BART,0.01576383
__REFERENCE__,onmt_pg,0.03560148
__REFERENCE__,seneca,0.008835766
BART,abssentrw,1.184082e-05
onmt_pg,abssentrw,9.593246e-07
seneca,abssentrw,0.001056354
BART,onmt_pg,0.4224218
BART,seneca,0.9268737
onmt_pg,seneca,0.4849075
__REFERENCE__,abssentrw,1.771262e-07
__REFERENCE__,BART,0.001189627
__REFERENCE__,onmt_pg,1.086302e-05
__REFERENCE__,seneca,2.08613e-08
BART,abssentrw,3.799605e-06
onmt_pg,abssentrw,4.424112e-05
seneca,abssentrw,0.03746939
BART,onmt_pg,0.01122952
BART,seneca,1.709012e-05
onmt_pg,seneca,0.000671531
__REFERENCE__,abssentrw,3.79264e-09
__REFERENCE__,BART,0.02788685
